timestamp,service,error_rate_pct,latency_p95_ms,request_rate_rps,cpu_pct,memory_pct
2026-07-07T13:00:00Z,checkout-service,0.4,380,120,41,58
2026-07-07T13:10:00Z,checkout-service,0.5,395,124,42,58
2026-07-07T13:20:00Z,checkout-service,0.6,410,126,44,59
2026-07-07T13:30:00Z,checkout-service,1.1,620,125,47,59
2026-07-07T13:35:00Z,checkout-service,3.8,1450,127,55,60
2026-07-07T13:40:00Z,checkout-service,6.9,1980,131,63,61
2026-07-07T13:45:00Z,checkout-service,8.7,2050,138,68,61
2026-07-07T13:50:00Z,checkout-service,10.2,2110,146,72,62
2026-07-07T13:55:00Z,checkout-service,11.5,2160,151,75,62
2026-07-07T14:00:00Z,checkout-service,12.4,2190,155,78,63
2026-07-07T14:05:00Z,checkout-service,12.6,2200,157,79,63
2026-07-07T13:00:00Z,orders-service,0.3,150,60,35,52
2026-07-07T13:10:00Z,orders-service,0.4,180,61,36,52
2026-07-07T13:20:00Z,orders-service,0.9,650,62,37,53
2026-07-07T13:30:00Z,orders-service,1.6,1200,63,37,53
2026-07-07T13:40:00Z,orders-service,2.8,2900,63,38,53
2026-07-07T13:50:00Z,orders-service,4.1,5600,64,38,54
2026-07-07T14:00:00Z,orders-service,5.5,8200,64,39,54
2026-07-07T14:10:00Z,orders-service,7.2,9800,65,39,54
2026-07-07T14:20:00Z,orders-service,8.9,10000,65,40,55
2026-07-07T13:00:00Z,search-service,0.2,520,210,52,66
2026-07-07T13:10:00Z,search-service,0.2,780,212,55,66
2026-07-07T13:20:00Z,search-service,0.3,1150,215,58,67
2026-07-07T13:30:00Z,search-service,0.3,1620,214,61,67
2026-07-07T13:40:00Z,search-service,0.5,1890,216,64,67
2026-07-07T13:50:00Z,search-service,0.8,2150,218,67,68
2026-07-07T14:00:00Z,search-service,1.2,2340,219,69,68
2026-07-07T14:10:00Z,search-service,1.6,2400,220,71,68
2026-07-07T13:00:00Z,recommendation-service,0.1,240,95,48,80
2026-07-07T13:20:00Z,recommendation-service,0.1,250,96,49,83
2026-07-07T13:40:00Z,recommendation-service,0.2,265,95,51,85
2026-07-07T14:00:00Z,recommendation-service,0.2,290,96,53,88
2026-07-07T14:20:00Z,recommendation-service,0.3,330,95,56,90
2026-07-07T14:30:00Z,recommendation-service,0.3,360,96,58,91
2026-07-07T13:00:00Z,payment-gateway,0.5,900,140,60,70
2026-07-07T13:20:00Z,payment-gateway,0.7,1400,150,64,70
2026-07-07T13:40:00Z,payment-gateway,0.9,2100,290,78,72
2026-07-07T14:00:00Z,payment-gateway,1.1,2250,410,86,73
